DEGRE,RADIAN,SINUS,COSINUS,TANGENTE,COTANGENTE
81.000000,1.413717,0.987688,0.156434,6.313752,0.158384
82.000000,1.431170,0.990268,0.139173,7.115370,0.140541
83.000000,1.448623,0.992546,0.121869,8.144346,0.122785
84.000000,1.466077,0.994522,0.104528,9.514364,0.105104
85.000000,1.483530,0.996195,0.087156,11.430052,0.087489
86.000000,1.500983,0.997564,0.069756,14.300666,0.069927
87.000000,1.518436,0.998630,0.052336,19.081137,0.052408
88.000000,1.535890,0.999391,0.034899,28.636253,0.034921
89.000000,1.553343,0.999848,0.017452,57.289962,0.017455
90.000000,1.570796,1.000000,-0.000000,-4875588902.821542,-0.000000
91.000000,1.588250,0.999848,-0.017452,-57.289961,-0.017455
92.000000,1.605703,0.999391,-0.034899,-28.636253,-0.034921
93.000000,1.623156,0.998630,-0.052336,-19.081137,-0.052408
94.000000,1.640609,0.997564,-0.069756,-14.300666,-0.069927
95.000000,1.658063,0.996195,-0.087156,-11.430052,-0.087489
96.000000,1.675516,0.994522,-0.104528,-9.514364,-0.105104
97.000000,1.692969,0.992546,-0.121869,-8.144346,-0.122785
98.000000,1.710423,0.990268,-0.139173,-7.115370,-0.140541
99.000000,1.727876,0.987688,-0.156434,-6.313752,-0.158384
100.000000,1.745329,0.984808,-0.173648,-5.671282,-0.176327
101.000000,1.762783,0.981627,-0.190809,-5.144554,-0.194380
102.000000,1.780236,0.978148,-0.207912,-4.704630,-0.212557
103.000000,1.797689,0.974370,-0.224951,-4.331476,-0.230868
104.000000,1.815142,0.970296,-0.241922,-4.010781,-0.249328
105.000000,1.832596,0.965926,-0.258819,-3.732051,-0.267949
106.000000,1.850049,0.961262,-0.275637,-3.487414,-0.286745
107.000000,1.867502,0.956305,-0.292372,-3.270853,-0.305731
108.000000,1.884956,0.951057,-0.309017,-3.077684,-0.324920
109.000000,1.902409,0.945519,-0.325568,-2.904211,-0.344328
110.000000,1.919862,0.939693,-0.342020,-2.747477,-0.363970
111.000000,1.937315,0.933580,-0.358368,-2.605089,-0.383864
112.000000,1.954769,0.927184,-0.374607,-2.475087,-0.404026
113.000000,1.972222,0.920505,-0.390731,-2.355852,-0.424475
114.000000,1.989675,0.913545,-0.406737,-2.246037,-0.445229
115.000000,2.007129,0.906308,-0.422618,-2.144507,-0.466308
116.000000,2.024582,0.898794,-0.438371,-2.050304,-0.487733
117.000000,2.042035,0.891007,-0.453990,-1.962611,-0.509525
118.000000,2.059489,0.882948,-0.469472,-1.880726,-0.531709
119.000000,2.076942,0.874620,-0.484810,-1.804048,-0.554309
120.000000,2.094395,0.866025,-0.500000,-1.732051,-0.577350
121.000000,2.111848,0.857167,-0.515038,-1.664279,-0.600861
122.000000,2.129302,0.848048,-0.529919,-1.600335,-0.624869
123.000000,2.146755,0.838671,-0.544639,-1.539865,-0.649408
124.000000,2.164208,0.829038,-0.559193,-1.482561,-0.674509
125.000000,2.181662,0.819152,-0.573576,-1.428148,-0.700208
126.000000,2.199115,0.809017,-0.587785,-1.376382,-0.726543
127.000000,2.216568,0.798636,-0.601815,-1.327045,-0.753554
128.000000,2.234021,0.788011,-0.615661,-1.279942,-0.781286
129.000000,2.251475,0.777146,-0.629320,-1.234897,-0.809784
130.000000,2.268928,0.766044,-0.642788,-1.191754,-0.839100
131.000000,2.286381,0.754710,-0.656059,-1.150368,-0.869287
132.000000,2.303835,0.743145,-0.669131,-1.110613,-0.900404
133.000000,2.321288,0.731354,-0.681998,-1.072369,-0.932515
134.000000,2.338741,0.719340,-0.694658,-1.035530,-0.965689
135.000000,2.356194,0.707107,-0.707107,-1.000000,-1.000000
136.000000,2.373648,0.694658,-0.719340,-0.965689,-1.035530
137.000000,2.391101,0.681998,-0.731354,-0.932515,-1.072369
138.000000,2.408554,0.669131,-0.743145,-0.900404,-1.110613
139.000000,2.426008,0.656059,-0.754710,-0.869287,-1.150368
140.000000,2.443461,0.642788,-0.766044,-0.839100,-1.191754
141.000000,2.460914,0.629320,-0.777146,-0.809784,-1.234897
142.000000,2.478368,0.615661,-0.788011,-0.781286,-1.279942
143.000000,2.495821,0.601815,-0.798636,-0.753554,-1.327045
144.000000,2.513274,0.587785,-0.809017,-0.726543,-1.376382
145.000000,2.530727,0.573576,-0.819152,-0.700208,-1.428148
146.000000,2.548181,0.559193,-0.829038,-0.674509,-1.482561
147.000000,2.565634,0.544639,-0.838671,-0.649408,-1.539865
148.000000,2.583087,0.529919,-0.848048,-0.624869,-1.600335
149.000000,2.600541,0.515038,-0.857167,-0.600861,-1.664279
150.000000,2.617994,0.500000,-0.866025,-0.577350,-1.732051
151.000000,2.635447,0.484810,-0.874620,-0.554309,-1.804048
152.000000,2.652900,0.469472,-0.882948,-0.531709,-1.880726
153.000000,2.670354,0.453990,-0.891007,-0.509525,-1.962611
154.000000,2.687807,0.438371,-0.898794,-0.487733,-2.050304
155.000000,2.705260,0.422618,-0.906308,-0.466308,-2.144507
156.000000,2.722714,0.406737,-0.913545,-0.445229,-2.246037
157.000000,2.740167,0.390731,-0.920505,-0.424475,-2.355852
158.000000,2.757620,0.374607,-0.927184,-0.404026,-2.475087
159.000000,2.775074,0.358368,-0.933580,-0.383864,-2.605089
160.000000,2.792527,0.342020,-0.939693,-0.363970,-2.747477
161.000000,2.809980,0.325568,-0.945519,-0.344328,-2.904211
162.000000,2.827433,0.309017,-0.951057,-0.324920,-3.077684
163.000000,2.844887,0.292372,-0.956305,-0.305731,-3.270853
164.000000,2.862340,0.275637,-0.961262,-0.286745,-3.487414
165.000000,2.879793,0.258819,-0.965926,-0.267949,-3.732051
166.000000,2.897247,0.241922,-0.970296,-0.249328,-4.010781
167.000000,2.914700,0.224951,-0.974370,-0.230868,-4.331476
168.000000,2.932153,0.207912,-0.978148,-0.212557,-4.704630
169.000000,2.949606,0.190809,-0.981627,-0.194380,-5.144554
170.000000,2.967060,0.173648,-0.984808,-0.176327,-5.671282
171.000000,2.984513,0.156434,-0.987688,-0.158384,-6.313752
172.000000,3.001966,0.139173,-0.990268,-0.140541,-7.115370
173.000000,3.019420,0.121869,-0.992546,-0.122785,-8.144346
174.000000,3.036873,0.104528,-0.994522,-0.105104,-9.514364
175.000000,3.054326,0.087156,-0.996195,-0.087489,-11.430052
176.000000,3.071779,0.069756,-0.997564,-0.069927,-14.300666
177.000000,3.089233,0.052336,-0.998630,-0.052408,-19.081137
178.000000,3.106686,0.034899,-0.999391,-0.034921,-28.636254
179.000000,3.124139,0.017452,-0.999848,-0.017455,-57.289963
180.000000,3.141593,-0.000000,-1.000000,0.000000,2437794451.410771
181.000000,3.159046,-0.017452,-0.999848,0.017455,57.289960
182.000000,3.176499,-0.034899,-0.999391,0.034921,28.636253
183.000000,3.193953,-0.052336,-0.998630,0.052408,19.081137
184.000000,3.211406,-0.069756,-0.997564,0.069927,14.300666
185.000000,3.228859,-0.087156,-0.996195,0.087489,11.430052
186.000000,3.246312,-0.104528,-0.994522,0.105104,9.514364
187.000000,3.263766,-0.121869,-0.992546,0.122785,8.144346
188.000000,3.281219,-0.139173,-0.990268,0.140541,7.115370
189.000000,3.298672,-0.156434,-0.987688,0.158384,6.313751
190.000000,3.316126,-0.173648,-0.984808,0.176327,5.671282
191.000000,3.333579,-0.190809,-0.981627,0.194380,5.144554
192.000000,3.351032,-0.207912,-0.978148,0.212557,4.704630
193.000000,3.368485,-0.224951,-0.974370,0.230868,4.331476
194.000000,3.385939,-0.241922,-0.970296,0.249328,4.010781
195.000000,3.403392,-0.258819,-0.965926,0.267949,3.732051
196.000000,3.420845,-0.275637,-0.961262,0.286745,3.487414
197.000000,3.438299,-0.292372,-0.956305,0.305731,3.270853
198.000000,3.455752,-0.309017,-0.951057,0.324920,3.077684
199.000000,3.473205,-0.325568,-0.945519,0.344328,2.904211
200.000000,3.490659,-0.342020,-0.939693,0.363970,2.747477
201.000000,3.508112,-0.358368,-0.933580,0.383864,2.605089
202.000000,3.525565,-0.374607,-0.927184,0.404026,2.475087
203.000000,3.543018,-0.390731,-0.920505,0.424475,2.355852
204.000000,3.560472,-0.406737,-0.913545,0.445229,2.246037
205.000000,3.577925,-0.422618,-0.906308,0.466308,2.144507
206.000000,3.595378,-0.438371,-0.898794,0.487733,2.050304
207.000000,3.612832,-0.453991,-0.891007,0.509525,1.962611
208.000000,3.630285,-0.469472,-0.882948,0.531709,1.880726
209.000000,3.647738,-0.484810,-0.874620,0.554309,1.804048
210.000000,3.665191,-0.500000,-0.866025,0.577350,1.732051
211.000000,3.682645,-0.515038,-0.857167,0.600861,1.664279
212.000000,3.700098,-0.529919,-0.848048,0.624869,1.600335
213.000000,3.717551,-0.544639,-0.838671,0.649408,1.539865
214.000000,3.735005,-0.559193,-0.829038,0.674509,1.482561
215.000000,3.752458,-0.573576,-0.819152,0.700208,1.428148
216.000000,3.769911,-0.587785,-0.809017,0.726543,1.376382
217.000000,3.787364,-0.601815,-0.798636,0.753554,1.327045
218.000000,3.804818,-0.615661,-0.788011,0.781286,1.279942
219.000000,3.822271,-0.629320,-0.777146,0.809784,1.234897
220.000000,3.839724,-0.642788,-0.766044,0.839100,1.191754
221.000000,3.857178,-0.656059,-0.754710,0.869287,1.150368
222.000000,3.874631,-0.669131,-0.743145,0.900404,1.110613
223.000000,3.892084,-0.681998,-0.731354,0.932515,1.072369
224.000000,3.909538,-0.694658,-0.719340,0.965689,1.035530
225.000000,3.926991,-0.707107,-0.707107,1.000000,1.000000
226.000000,3.944444,-0.719340,-0.694658,1.035530,0.965689
227.000000,3.961897,-0.731354,-0.681998,1.072369,0.932515
228.000000,3.979351,-0.743145,-0.669131,1.110613,0.900404
229.000000,3.996804,-0.754710,-0.656059,1.150368,0.869287
230.000000,4.014257,-0.766044,-0.642788,1.191754,0.839100
231.000000,4.031711,-0.777146,-0.629320,1.234897,0.809784
232.000000,4.049164,-0.788011,-0.615661,1.279942,0.781286
233.000000,4.066617,-0.798636,-0.601815,1.327045,0.753554
234.000000,4.084070,-0.809017,-0.587785,1.376382,0.726543
235.000000,4.101524,-0.819152,-0.573576,1.428148,0.700208
236.000000,4.118977,-0.829038,-0.559193,1.482561,0.674509
237.000000,4.136430,-0.838671,-0.544639,1.539865,0.649408
238.000000,4.153884,-0.848048,-0.529919,1.600335,0.624869
239.000000,4.171337,-0.857167,-0.515038,1.664279,0.600861
240.000000,4.188790,-0.866025,-0.500000,1.732051,0.577350
241.000000,4.206243,-0.874620,-0.484810,1.804048,0.554309
242.000000,4.223697,-0.882948,-0.469472,1.880726,0.531709
243.000000,4.241150,-0.891007,-0.453990,1.962611,0.509525
244.000000,4.258603,-0.898794,-0.438371,2.050304,0.487733
245.000000,4.276057,-0.906308,-0.422618,2.144507,0.466308
246.000000,4.293510,-0.913545,-0.406737,2.246037,0.445229
247.000000,4.310963,-0.920505,-0.390731,2.355852,0.424475
248.000000,4.328417,-0.927184,-0.374607,2.475087,0.404026
249.000000,4.345870,-0.933580,-0.358368,2.605089,0.383864
250.000000,4.363323,-0.939693,-0.342020,2.747477,0.363970
251.000000,4.380776,-0.945519,-0.325568,2.904211,0.344328
252.000000,4.398230,-0.951057,-0.309017,3.077684,0.324920
253.000000,4.415683,-0.956305,-0.292372,3.270853,0.305731
254.000000,4.433136,-0.961262,-0.275637,3.487414,0.286745
255.000000,4.450590,-0.965926,-0.258819,3.732051,0.267949
256.000000,4.468043,-0.970296,-0.241922,4.010781,0.249328
257.000000,4.485496,-0.974370,-0.224951,4.331476,0.230868
258.000000,4.502949,-0.978148,-0.207912,4.704630,0.212557
259.000000,4.520403,-0.981627,-0.190809,5.144554,0.194380
260.000000,4.537856,-0.984808,-0.173648,5.671282,0.176327
261.000000,4.555309,-0.987688,-0.156434,6.313752,0.158384
262.000000,4.572763,-0.990268,-0.139173,7.115370,0.140541
263.000000,4.590216,-0.992546,-0.121869,8.144346,0.122785
264.000000,4.607669,-0.994522,-0.104528,9.514365,0.105104
265.000000,4.625123,-0.996195,-0.087156,11.430052,0.087489
266.000000,4.642576,-0.997564,-0.069756,14.300666,0.069927
267.000000,4.660029,-0.998630,-0.052336,19.081137,0.052408
268.000000,4.677482,-0.999391,-0.034899,28.636254,0.034921
269.000000,4.694936,-0.999848,-0.017452,57.289964,0.017455
270.000000,4.712389,-1.000000,0.000000,-1625196300.940514,-0.000000
271.000000,4.729842,-0.999848,0.017452,-57.289960,-0.017455
272.000000,4.747296,-0.999391,0.034899,-28.636253,-0.034921
273.000000,4.764749,-0.998630,0.052336,-19.081136,-0.052408
274.000000,4.782202,-0.997564,0.069756,-14.300666,-0.069927
275.000000,4.799655,-0.996195,0.087156,-11.430052,-0.087489
276.000000,4.817109,-0.994522,0.104528,-9.514364,-0.105104
277.000000,4.834562,-0.992546,0.121869,-8.144346,-0.122785
278.000000,4.852015,-0.990268,0.139173,-7.115370,-0.140541
279.000000,4.869469,-0.987688,0.156434,-6.313751,-0.158384
280.000000,4.886922,-0.984808,0.173648,-5.671282,-0.176327
281.000000,4.904375,-0.981627,0.190809,-5.144554,-0.194380
282.000000,4.921828,-0.978148,0.207912,-4.704630,-0.212557
283.000000,4.939282,-0.974370,0.224951,-4.331476,-0.230868
284.000000,4.956735,-0.970296,0.241922,-4.010781,-0.249328
285.000000,4.974188,-0.965926,0.258819,-3.732051,-0.267949
286.000000,4.991642,-0.961262,0.275637,-3.487414,-0.286745
287.000000,5.009095,-0.956305,0.292372,-3.270853,-0.305731
288.000000,5.026548,-0.951057,0.309017,-3.077684,-0.324920
289.000000,5.044002,-0.945519,0.325568,-2.904211,-0.344328
290.000000,5.061455,-0.939693,0.342020,-2.747477,-0.363970
291.000000,5.078908,-0.933580,0.358368,-2.605089,-0.383864
292.000000,5.096361,-0.927184,0.374607,-2.475087,-0.404026
293.000000,5.113815,-0.920505,0.390731,-2.355852,-0.424475
294.000000,5.131268,-0.913545,0.406737,-2.246037,-0.445229
295.000000,5.148721,-0.906308,0.422618,-2.144507,-0.466308
296.000000,5.166175,-0.898794,0.438371,-2.050304,-0.487733
297.000000,5.183628,-0.891007,0.453991,-1.962611,-0.509525
298.000000,5.201081,-0.882948,0.469472,-1.880726,-0.531709
299.000000,5.218534,-0.874620,0.484810,-1.804048,-0.554309
300.000000,5.235988,-0.866025,0.500000,-1.732051,-0.577350
301.000000,5.253441,-0.857167,0.515038,-1.664279,-0.600861
302.000000,5.270894,-0.848048,0.529919,-1.600335,-0.624869
303.000000,5.288348,-0.838671,0.544639,-1.539865,-0.649408
304.000000,5.305801,-0.829038,0.559193,-1.482561,-0.674509
305.000000,5.323254,-0.819152,0.573576,-1.428148,-0.700208
306.000000,5.340708,-0.809017,0.587785,-1.376382,-0.726543
307.000000,5.358161,-0.798636,0.601815,-1.327045,-0.753554
308.000000,5.375614,-0.788011,0.615661,-1.279942,-0.781286
309.000000,5.393067,-0.777146,0.629320,-1.234897,-0.809784
310.000000,5.410521,-0.766044,0.642788,-1.191754,-0.839100
311.000000,5.427974,-0.754710,0.656059,-1.150368,-0.869287
312.000000,5.445427,-0.743145,0.669131,-1.110613,-0.900404
313.000000,5.462881,-0.731354,0.681998,-1.072369,-0.932515
314.000000,5.480334,-0.719340,0.694658,-1.035530,-0.965689
315.000000,5.497787,-0.707107,0.707107,-1.000000,-1.000000
316.000000,5.515240,-0.694658,0.719340,-0.965689,-1.035530
317.000000,5.532694,-0.681998,0.731354,-0.932515,-1.072369
318.000000,5.550147,-0.669131,0.743145,-0.900404,-1.110613
319.000000,5.567600,-0.656059,0.754710,-0.869287,-1.150368
320.000000,5.585054,-0.642788,0.766044,-0.839100,-1.191754
321.000000,5.602507,-0.629320,0.777146,-0.809784,-1.234897
322.000000,5.619960,-0.615661,0.788011,-0.781286,-1.279942
323.000000,5.637413,-0.601815,0.798636,-0.753554,-1.327045
324.000000,5.654867,-0.587785,0.809017,-0.726543,-1.376382
325.000000,5.672320,-0.573576,0.819152,-0.700208,-1.428148
326.000000,5.689773,-0.559193,0.829038,-0.674509,-1.482561
327.000000,5.707227,-0.544639,0.838671,-0.649408,-1.539865
328.000000,5.724680,-0.529919,0.848048,-0.624869,-1.600335
329.000000,5.742133,-0.515038,0.857167,-0.600861,-1.664279
330.000000,5.759587,-0.500000,0.866025,-0.577350,-1.732051
331.000000,5.777040,-0.484810,0.874620,-0.554309,-1.804048
332.000000,5.794493,-0.469472,0.882948,-0.531709,-1.880726
333.000000,5.811946,-0.453990,0.891007,-0.509525,-1.962611
334.000000,5.829400,-0.438371,0.898794,-0.487733,-2.050304
335.000000,5.846853,-0.422618,0.906308,-0.466308,-2.144507
336.000000,5.864306,-0.406737,0.913545,-0.445229,-2.246037
337.000000,5.881760,-0.390731,0.920505,-0.424475,-2.355852
338.000000,5.899213,-0.374607,0.927184,-0.404026,-2.475087
339.000000,5.916666,-0.358368,0.933580,-0.383864,-2.605089
340.000000,5.934119,-0.342020,0.939693,-0.363970,-2.747477
341.000000,5.951573,-0.325568,0.945519,-0.344328,-2.904211
342.000000,5.969026,-0.309017,0.951057,-0.324920,-3.077684
343.000000,5.986479,-0.292372,0.956305,-0.305731,-3.270853
344.000000,6.003933,-0.275637,0.961262,-0.286745,-3.487414
345.000000,6.021386,-0.258819,0.965926,-0.267949,-3.732051
346.000000,6.038839,-0.241922,0.970296,-0.249328,-4.010781
347.000000,6.056293,-0.224951,0.974370,-0.230868,-4.331476
348.000000,6.073746,-0.207912,0.978148,-0.212557,-4.704630
349.000000,6.091199,-0.190809,0.981627,-0.194380,-5.144554
350.000000,6.108652,-0.173648,0.984808,-0.176327,-5.671282
351.000000,6.126106,-0.156434,0.987688,-0.158384,-6.313752
352.000000,6.143559,-0.139173,0.990268,-0.140541,-7.115370
353.000000,6.161012,-0.121869,0.992546,-0.122785,-8.144346
354.000000,6.178466,-0.104528,0.994522,-0.105104,-9.514365
355.000000,6.195919,-0.087156,0.996195,-0.087489,-11.430052
356.000000,6.213372,-0.069756,0.997564,-0.069927,-14.300666
357.000000,6.230825,-0.052336,0.998630,-0.052408,-19.081137
358.000000,6.248279,-0.034899,0.999391,-0.034921,-28.636254
359.000000,6.265732,-0.017452,0.999848,-0.017455,-57.289964
360.000000,6.283185,0.000000,1.000000,0.000000,1218897225.705385
